iid,match,goal,round,gender,age,field_cd,imprace,imprelig,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,match_es,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr,sinc,intel,fun,amb,shar,norm_match,norm_match_es,career_c:Lawyer,career_c:Academic/Research,career_c:Psychologist,career_c:Doctor/Medicine,career_c:Engineer,career_c:Creative Arts/Entertainment,career_c:Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,career_c:Real Estate,career_c:International/Humanitarian Affairs,career_c:Undecided,career_c:Social Work,career_c:Speech Pathology,career_c:Politics,career_c:Pro sports/Athletics,career_c:Other,career_c:Architecture,country/continent:Africa,country/continent:Asia,country/continent:Australia,country/continent:Canada,country/continent:Central America,country/continent:Europe,country/continent:North America,country/continent:Siberia,country/continent:South America,country/continent:USA,race:Black/African American,race:European/Caucasian-American,race:Latino/Hispanic American,race:Asian/Pacific Islander/Asian-American,race:Other
50,4,6.0,19,1,27.0,1.0,4.0,4.0,6.0,2.0,10.0,10.0,3.0,8.0,5.0,3.0,4.0,3.0,10.0,5.0,6.0,8.0,10.0,7.0,10.0,6.0,2.0,5.0,5.0,8.0,9.0,10.0,9.0,8.0,35.0,10.0,20.0,15.0,10.0,10.0,6.5,7.833333333333333,7.666666666666667,7.285714285714286,8.25,5.333333333333333,0.21052631578947367,0.2631578947368421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
51,1,1.0,19,1,23.0,1.0,5.0,10.0,5.0,3.0,6.0,6.0,7.0,3.0,4.0,3.0,6.0,5.0,4.0,5.0,7.0,1.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,6.0,8.0,10.0,2.0,2.0,25.0,10.0,35.0,15.0,0.0,15.0,5.2105263157894735,6.105263157894737,6.684210526315789,4.315789473684211,4.684210526315789,3.4210526315789473,0.05263157894736842,0.05263157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52,1,1.0,19,1,21.0,1.0,10.0,9.0,4.0,1.0,8.0,5.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,7.0,4.0,6.0,3.0,5.0,4.0,2.0,5.0,2.0,5.0,8.0,8.0,6.0,7.0,15.0,20.0,15.0,30.0,5.0,15.0,6.2105263157894735,6.7368421052631575,6.894736842105263,6.2105263157894735,6.0,5.105263157894737,0.05263157894736842,0.10526315789473684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
53,1,2.0,19,1,28.0,4.0,2.0,2.0,6.0,2.0,8.0,4.0,3.0,10.0,9.0,8.0,8.0,4.0,4.0,9.0,5.0,7.0,9.0,9.0,9.0,7.0,3.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,40.0,15.0,20.0,10.0,5.0,10.0,7.157894736842105,8.157894736842104,8.263157894736842,7.526315789473684,8.105263157894736,6.578947368421052,0.05263157894736842,0.42105263157894735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
54,0,5.0,19,1,28.0,8.0,1.0,1.0,5.0,1.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,7.0,2.0,8.0,9.0,8.0,8.0,8.0,40.0,20.0,20.0,20.0,0.0,0.0,6.631578947368421,7.894736842105263,7.631578947368421,7.2631578947368425,7.368421052631579,6.2105263157894735,0.0,0.10526315789473684,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
55,3,6.0,19,1,23.0,1.0,1.0,1.0,4.0,2.0,10.0,8.0,4.0,5.0,5.0,4.0,1.0,6.0,10.0,9.0,7.0,5.0,10.0,7.0,10.0,5.0,1.0,7.0,2.0,6.0,10.0,9.0,10.0,10.0,20.0,25.0,25.0,10.0,10.0,10.0,6.947368421052632,8.789473684210526,9.263157894736842,8.631578947368421,9.052631578947368,7.777777777777778,0.15789473684210525,0.10526315789473684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
56,2,1.0,10,0,23.0,11.0,10.0,9.0,3.0,1.0,2.0,1.0,10.0,10.0,5.0,5.0,2.0,1.0,7.0,6.0,8.0,8.0,7.0,6.0,9.0,10.0,4.0,3.0,3.0,10.0,10.0,8.0,9.0,5.0,17.0,18.0,18.0,15.0,17.0,15.0,3.3,8.9,7.1,4.9,6.9,4.8,0.2,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
57,1,3.0,10,0,22.0,11.0,10.0,10.0,5.0,2.0,4.0,4.0,5.0,9.0,9.0,9.0,9.0,1.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,6.0,10.0,9.0,10.0,10.0,10.0,20.0,20.0,20.0,15.0,15.0,8.6,8.5,9.0,8.7,8.6,7.6,0.1,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
58,2,2.0,10,0,26.0,8.0,3.0,3.0,5.0,2.0,7.0,4.0,7.0,8.0,7.0,7.0,6.0,4.0,6.0,8.0,5.0,7.0,8.0,7.0,8.0,6.0,4.0,6.0,5.0,7.0,9.0,8.0,8.0,8.0,19.59,18.0,20.0,17.95,10.7,11.765,5.6,7.5,8.8,6.6,7.333333333333333,5.1,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,2.0,10,0,26.0,8.0,3.0,3.0,5.0,2.0,7.0,4.0,7.0,8.0,7.0,7.0,6.0,4.0,6.0,8.0,5.0,7.0,8.0,7.0,8.0,6.0,4.0,6.0,2.0,7.0,9.0,8.0,8.0,8.0,19.59,18.0,20.0,17.95,10.7,11.765,3.75,4.0,4.5,2.0,5.5,3.0,0.0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,4.0,10,0,29.0,3.0,3.0,10.0,6.0,2.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,2.0,7.0,9.0,9.0,9.0,9.0,5.0,20.0,25.0,15.0,15.0,20.0,6.6,8.4,9.7,5.1,5.4,4.222222222222222,0.1,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
61,2,1.0,10,0,28.0,7.0,1.0,5.0,5.0,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,5.0,1.0,7.0,10.0,10.0,7.0,7.0,15.0,15.0,20.0,15.0,15.0,20.0,6.2,7.3,7.5,7.9,7.9,4.4,0.2,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62,3,2.0,10,0,26.0,1.0,1.0,1.0,7.0,2.0,8.0,5.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,9.0,7.0,9.0,9.0,2.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,30.0,10.0,20.0,20.0,10.0,10.0,6.9,7.6,7.7,6.9,7.7,7.1,0.3,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
63,1,3.0,10,0,24.0,1.0,1.0,3.0,6.0,1.0,5.0,3.0,8.0,6.0,9.0,8.0,5.0,1.0,2.0,10.0,1.0,8.0,9.0,4.0,5.0,6.0,2.0,6.0,2.0,6.0,8.0,8.0,9.0,7.0,5.0,15.0,45.0,25.0,0.0,10.0,4.2,6.9,6.6,4.8,5.9,3.4,0.1,0.1875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
64,1,2.0,10,0,27.0,11.0,6.0,3.0,6.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,5.0,3.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,5.0,3.0,4.0,8.0,8.0,9.0,6.0,9.0,10.0,25.0,25.0,10.0,10.0,20.0,6.1,6.2,7.2,5.4,6.2,4.5,0.1,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
65,0,2.0,10,0,23.0,11.0,6.0,3.0,5.0,3.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,6.0,7.0,0.0,7.0,9.0,8.0,9.0,9.0,17.0,17.0,17.0,17.0,17.0,15.0,6.4,7.1,7.2,6.8,7.3,5.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
66,1,2.0,10,1,29.0,8.0,1.0,1.0,6.0,4.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0,5.0,3.0,6.0,7.0,8.0,7.0,8.0,20.0,25.0,15.0,15.0,53.0,20.0,5.1,7.0,7.125,6.5,6.777777777777778,5.555555555555555,0.1,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
67,2,6.0,10,1,22.0,1.0,1.0,1.0,5.0,2.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,5.0,3.0,5.0,7.0,7.0,6.0,7.0,20.0,15.0,20.0,20.0,5.0,10.0,5.875,7.125,6.75,6.875,6.25,5.25,0.2,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
68,0,5.0,10,1,27.0,6.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,5.0,2.0,6.0,8.0,8.0,7.0,8.0,21.0,17.0,22.0,20.0,8.0,13.0,5.0,6.1,5.8,5.1,5.1,3.7,0.0,0.1875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
69,2,6.0,10,1,28.0,8.0,2.0,2.0,6.0,1.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,3.0,1.0,5.0,9.0,8.0,5.0,8.0,50.0,10.0,30.0,10.0,0.0,0.0,4.4,6.6,6.6,5.3,6.111111111111111,2.2,0.2,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
70,1,5.0,10,1,26.0,8.0,5.0,1.0,2.0,1.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,3.0,0.0,8.0,6.0,9.0,8.0,6.0,25.0,10.0,20.0,20.0,15.0,10.0,6.222222222222222,6.666666666666667,7.555555555555555,6.666666666666667,5.888888888888889,5.555555555555555,0.1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
71,3,5.0,10,1,21.0,1.0,6.0,7.0,6.0,2.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,9.0,2.0,6.0,8.0,10.0,8.0,10.0,60.0,15.0,0.0,15.0,0.0,10.0,6.888888888888889,7.0,7.555555555555555,7.888888888888889,7.5,4.571428571428571,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
72,0,5.0,10,1,22.0,5.0,8.0,1.0,6.0,1.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,1.0,7.0,9.0,8.0,8.0,8.0,21.0,20.0,19.0,20.0,10.0,10.0,5.7,7.5,7.3,5.6,6.3,5.7,0.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
73,0,6.0,10,1,22.0,8.0,7.0,3.0,4.0,2.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,2.0,0.0,7.0,7.0,7.0,8.0,8.0,30.0,10.0,20.0,30.0,0.0,10.0,5.0,7.333333333333333,6.555555555555555,5.666666666666667,5.777777777777778,5.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
74,2,5.0,10,1,25.0,5.0,3.0,1.0,7.0,2.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0,9.0,2.0,7.0,9.0,8.0,9.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0,7.3,8.1,7.7,7.4,6.0,6.0,0.2,0.1875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
75,2,6.0,10,1,24.0,1.0,3.0,3.0,5.0,3.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,6.111111111111111,6.333333333333333,6.555555555555555,6.111111111111111,5.888888888888889,5.222222222222222,0.2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
76,5,2.0,18,0,34.0,6.0,5.0,7.0,7.0,2.0,1.0,7.0,6.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,4.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,8.0,6.0,4.0,10.0,10.0,30.0,20.0,10.0,20.0,4.111111111111111,7.0625,6.352941176470588,6.142857142857143,7.0,6.333333333333333,0.2777777777777778,0.2222222222222222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
77,6,1.0,18,0,22.0,11.0,2.0,2.0,4.0,2.0,7.0,1.0,10.0,9.0,9.0,9.0,8.0,3.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,7.0,9.0,6.0,2.0,6.0,8.0,8.0,8.0,8.0,15.0,20.0,20.0,20.0,15.0,10.0,6.222222222222222,6.777777777777778,7.055555555555555,6.777777777777778,6.75,6.0,0.3333333333333333,0.1875,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
78,3,2.0,18,0,23.0,11.0,1.0,4.0,7.0,3.0,5.0,1.0,7.0,7.0,9.0,5.0,9.0,1.0,3.0,9.0,3.0,9.0,9.0,9.0,7.0,5.0,10.0,7.0,1.0,3.0,10.0,8.0,3.0,8.0,10.0,25.0,20.0,10.0,20.0,15.0,5.222222222222222,6.777777777777778,8.666666666666666,4.615384615384615,8.545454545454545,5.0,0.16666666666666666,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
79,3,2.0,18,0,26.0,5.0,8.0,8.0,7.0,1.0,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,5.0,2.0,7.0,9.0,7.0,8.0,7.0,10.0,20.0,15.0,20.0,20.0,15.0,5.0,5.5,5.611111111111111,5.388888888888889,5.333333333333333,5.055555555555555,0.16666666666666666,0.1111111111111111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
80,3,1.0,18,0,27.0,10.0,3.0,1.0,5.0,4.0,8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,7.0,4.0,8.0,8.0,8.0,8.0,8.0,10.0,20.0,20.0,10.0,20.0,20.0,6.722222222222222,8.125,8.0,7.555555555555555,8.0,7.470588235294118,0.16666666666666666,0.2222222222222222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
81,3,5.0,18,0,28.0,6.0,6.0,9.0,5.0,2.0,6.0,2.0,7.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,4.0,5.0,2.0,8.0,7.0,7.0,8.0,7.0,10.0,10.0,20.0,20.0,20.0,20.0,4.777777777777778,7.888888888888889,8.055555555555555,6.222222222222222,6.944444444444445,5.166666666666667,0.16666666666666666,0.1111111111111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
82,5,1.0,18,0,25.0,9.0,2.0,7.0,3.0,2.0,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,7.0,5.0,8.0,9.0,8.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,6.222222222222222,9.222222222222221,9.0,8.222222222222221,8.444444444444445,7.388888888888889,0.2777777777777778,0.2777777777777778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
83,2,2.0,18,0,35.0,8.0,1.0,5.0,6.0,1.0,5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,6.0,0.0,5.0,9.0,5.0,9.0,5.0,10.0,32.0,20.0,12.0,11.0,15.0,5.388888888888889,7.444444444444445,7.722222222222222,6.555555555555555,7.055555555555555,6.5,0.1111111111111111,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
84,2,2.0,18,0,32.0,10.0,1.0,1.0,4.0,1.0,7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,9.0,10.0,9.0,9.0,5.0,5.0,7.0,2.0,7.0,9.0,8.0,7.0,5.0,30.0,30.0,30.0,5.0,0.0,5.0,4.222222222222222,5.388888888888889,6.277777777777778,5.166666666666667,5.333333333333333,4.388888888888889,0.1111111111111111,0.1111111111111111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
85,1,2.0,18,0,30.0,11.0,3.0,5.0,6.0,4.0,2.0,3.0,4.0,9.0,8.0,6.0,8.0,4.0,7.0,8.0,4.0,6.0,7.0,5.0,8.0,5.0,3.0,4.0,3.0,7.0,9.0,8.0,9.0,9.0,20.0,25.0,15.0,15.0,15.0,10.0,6.111111111111111,6.5,6.888888888888889,4.944444444444445,6.277777777777778,2.6666666666666665,0.05555555555555555,0.16666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
86,8,2.0,18,0,22.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,7.0,7.0,2.0,1.0,6.0,4.0,7.0,5.0,10.0,10.0,10.0,2.0,2.0,6.0,3.0,7.0,9.0,9.0,9.0,4.0,15.0,20.0,20.0,20.0,5.0,20.0,6.777777777777778,7.055555555555555,6.666666666666667,6.222222222222222,6.117647058823529,5.666666666666667,0.4444444444444444,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
87,2,1.0,18,0,23.0,11.0,8.0,10.0,3.0,2.0,10.0,5.0,10.0,8.0,7.0,7.0,8.0,4.0,9.0,9.0,6.0,7.0,10.0,9.0,10.0,7.0,9.0,4.0,2.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,15.0,20.0,3.1666666666666665,5.277777777777778,5.833333333333333,5.277777777777778,6.333333333333333,3.5,0.1111111111111111,0.1875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
88,0,1.0,18,0,23.0,11.0,8.0,7.0,4.0,4.0,8.0,7.0,10.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,3.0,5.0,1.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,20.0,15.0,20.0,15.0,4.111111111111111,8.944444444444445,9.777777777777779,5.611111111111111,9.444444444444445,5.833333333333333,0.0,0.05555555555555555,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
89,2,1.0,18,0,27.0,8.0,3.0,2.0,7.0,3.0,2.0,2.0,2.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,1.0,9.0,8.0,8.0,9.0,4.0,2.0,5.0,1.0,8.0,9.0,9.0,8.0,10.0,25.0,15.0,20.0,20.0,20.0,0.0,7.222222222222222,9.333333333333334,8.944444444444445,7.888888888888889,7.833333333333333,6.111111111111111,0.1111111111111111,0.05555555555555555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90,1,2.0,18,0,23.0,10.0,4.0,1.0,7.0,7.0,8.0,9.0,6.0,5.0,8.0,9.0,6.0,3.0,1.0,10.0,6.0,7.0,8.0,7.0,6.0,4.0,1.0,5.0,2.0,5.0,8.0,7.0,5.0,5.0,15.0,21.0,18.0,18.0,10.0,18.0,5.722222222222222,7.166666666666667,6.833333333333333,6.0,6.388888888888889,5.055555555555555,0.05555555555555555,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
91,8,1.0,18,0,25.0,1.0,6.0,8.0,3.0,2.0,4.0,2.0,5.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,10.0,8.0,8.0,7.0,6.0,2.0,5.0,2.0,6.0,7.0,9.0,7.0,8.0,15.0,3.0,50.0,20.0,2.0,10.0,6.0,7.166666666666667,7.722222222222222,6.944444444444445,7.235294117647059,5.333333333333333,0.4444444444444444,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
92,7,5.0,18,0,29.0,9.0,1.0,2.0,6.0,1.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,10.0,6.0,9.0,5.0,3.0,9.0,10.0,9.0,9.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,6.666666666666667,8.11111111111111,8.944444444444445,6.833333333333333,8.38888888888889,6.611111111111111,0.3888888888888889,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
93,4,1.0,18,0,29.0,5.0,2.0,2.0,5.0,1.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,6.0,2.0,8.0,8.0,8.0,8.0,7.0,14.0,20.0,18.0,24.0,18.0,6.0,6.944444444444445,6.888888888888889,7.0,6.777777777777778,6.9411764705882355,6.352941176470588,0.2222222222222222,0.1875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
94,3,2.0,18,1,28.0,8.0,6.0,8.0,6.0,3.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,5.0,4.0,6.0,9.0,9.0,9.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,7.055555555555555,7.111111111111111,7.222222222222222,6.777777777777778,6.333333333333333,5.444444444444445,0.16666666666666666,0.2222222222222222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
95,1,1.0,18,1,26.0,8.0,7.0,5.0,5.0,2.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,6.0,2.0,7.0,9.0,10.0,8.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,5.277777777777778,6.722222222222222,6.555555555555555,6.277777777777778,5.555555555555555,5.444444444444445,0.05555555555555555,0.1111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
96,0,1.0,18,1,26.0,5.0,3.0,6.0,7.0,1.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,7.0,4.0,7.0,9.0,9.0,9.0,9.0,10.0,20.0,20.0,22.0,6.0,22.0,6.888888888888889,7.277777777777778,7.333333333333333,7.166666666666667,7.0,7.2,0.0,0.2222222222222222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
97,5,2.0,18,1,29.0,10.0,4.0,1.0,5.0,2.0,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0,5.0,2.0,7.0,5.0,6.0,7.0,6.0,50.0,7.0,20.0,23.0,0.0,0.0,6.444444444444445,7.111111111111111,7.388888888888889,6.444444444444445,7.111111111111111,6.111111111111111,0.2777777777777778,0.1875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
98,2,4.0,18,1,39.0,11.0,1.0,1.0,4.0,2.0,8.0,8.0,8.0,7.0,3.0,3.0,5.0,1.0,7.0,7.0,3.0,7.0,8.0,6.0,8.0,2.0,7.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,40.0,20.0,15.0,20.0,0.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1111111111111111,0.2777777777777778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
